longitude,latitude,fishing activity 2019_unreported_fishing,species richness 2019,stocks richness 2019,clusterid,risk
0.72,38.03,97.75000000000001,412.0,60.0,1.0,Very High
1.22,38.03,50.416666666666714,340.0,51.0,2.0,High
1.72,38.03,64.25000000000004,225.0,32.0,3.0,Moderate
2.22,38.03,48.4166666666667,147.0,22.0,4.0,Moderate
2.72,38.03,31.83333333333333,116.0,25.0,4.0,Moderate
3.22,38.03,8.916666666666664,97.0,15.0,5.0,Very Low
3.72,38.03,8.583333333333341,99.0,19.0,4.0,Moderate
4.22,38.03,0.0,79.0,12.0,5.0,Very Low
4.72,38.03,0.0,68.0,6.0,6.0,Very Low
5.22,38.03,0.0,69.0,7.0,5.0,Very Low
5.72,38.03,0.0,74.0,9.0,5.0,Very Low
6.22,38.03,0.0,76.0,10.0,5.0,Very Low
6.72,38.03,0.0,75.0,10.0,5.0,Very Low
7.22,38.03,0.0,76.0,11.0,5.0,Very Low
7.72,38.03,2.5833333333333357,82.0,12.0,5.0,Very Low
8.22,38.03,248.33333333333346,165.0,24.0,4.0,Moderate
8.72,38.03,762.0000000000014,219.0,38.0,3.0,Moderate
9.22,38.03,392.99999999999994,274.0,46.0,2.0,High
9.72,38.03,560.0,339.0,53.0,2.0,High
10.22,38.03,383.41666666666686,349.0,53.0,2.0,High
10.72,38.03,723.5833333333339,313.0,55.0,2.0,High
11.22,38.03,619.7500000000001,343.0,53.0,2.0,High
11.72,38.03,748.6666666666658,385.0,60.0,1.0,Very High
12.22,38.03,708.0833333333336,405.0,58.0,1.0,Very High
13.72,38.03,1218.0833333333342,459.0,57.0,0.0,Very High
14.22,38.03,427.5833333333336,444.0,55.0,1.0,Very High
16.22,38.03,17.08333333333335,345.0,46.0,2.0,High
16.72,38.03,101.50000000000007,301.0,41.0,2.0,High
17.22,38.03,0.8333333333333338,146.0,26.0,4.0,Moderate
17.72,38.03,0.0,90.0,12.0,5.0,Very Low
18.22,38.03,0.0,68.0,7.0,5.0,Very Low
18.72,38.03,0.0,42.0,2.0,6.0,Very Low
